2018:04:02 16:42:32.967 INFO  --- [main] com.skcc.mybatis.sample.Application : Starting Application on Jaehoonui-MacBook-Pro.local with PID 23039 (/Volumes/1000jaeh/github/cloudz-labs/workspace/spring-samples/mybatis-sample/target/classes started by 1000jaeh in /Volumes/1000jaeh/github/cloudz-labs/workspace/spring-samples/mybatis-sample) 
2018:04:02 16:42:32.991 DEBUG --- [main] com.skcc.mybatis.sample.Application : Running with Spring Boot v1.4.5.RELEASE, Spring v4.3.7.RELEASE 
2018:04:02 16:42:32.992 INFO  --- [main] com.skcc.mybatis.sample.Application : No active profile set, falling back to default profiles: default 
2018:04:02 16:42:33.025 INFO  --- [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@587e5365: startup date [Mon Apr 02 16:42:33 KST 2018]; root of context hierarchy 
2018:04:02 16:42:33.487 WARN  --- [main] o.m.s.mapper.ClassPathMapperScanner : No MyBatis mapper was found in '[com.skcc.mybatis.sample]' package. Please check your configuration. 
2018:04:02 16:42:33.703 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$81d37fe0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018:04:02 16:42:34.024 INFO  --- [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2018:04:02 16:42:34.033 INFO  --- [main] o.a.catalina.core.StandardService : Starting service Tomcat 
2018:04:02 16:42:34.034 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.11 
2018:04:02 16:42:34.094 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2018:04:02 16:42:34.095 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1070 ms 
2018:04:02 16:42:34.227 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2018:04:02 16:42:34.231 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2018:04:02 16:42:34.232 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2018:04:02 16:42:34.232 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
